,Mu(eV),Temp(K),Seebeck_xx,Seebeck_xy,Seebeck_xz,Seebeck_yx,Seebeck_yy,Seebeck_yz,Seebeck_zx,Seebeck_zy,Seebeck_zz,Material,Parameter,Label
90,0.5,350.0,7.369125797e-05,4.197180661e-10,2.401979843e-09,4.193485952e-10,7.369119504e-05,7.360069215e-09,2.40162961e-09,7.360073085e-09,7.369113604e-05,CsPbBr3,seebeck,350K
91,0.55,350.0,7.491988817e-05,-2.205219941e-08,-2.254597425e-08,-2.205195927e-08,7.492110947e-05,-1.892836023e-08,-2.254630153e-08,-1.892894772e-08,7.492013032e-05,CsPbBr3,seebeck,350K
92,0.6,350.0,8.298840354e-05,1.356804965e-09,-9.57683423e-10,1.357036769e-09,8.299053292e-05,-1.037899125e-09,-9.578501114e-10,-1.038310164e-09,8.298920323e-05,CsPbBr3,seebeck,350K
93,0.65,350.0,0.0001043773715,1.091438849e-08,8.997922184e-09,1.091454595e-08,0.0001043801206,6.668127874e-09,8.997784073e-09,6.667830101e-09,0.0001043785387,CsPbBr3,seebeck,350K
94,0.7,350.0,0.0001470966566,8.094248276e-09,7.86030062e-09,8.094327923e-09,0.0001470996847,4.717694821e-09,7.860209473e-09,4.717498993e-09,0.0001470978943,CsPbBr3,seebeck,350K
95,0.75,350.0,0.000224322581,5.252232965e-09,6.48557956e-09,5.252258228e-09,0.0002243256704,3.258552808e-09,6.48553514e-09,3.258412269e-09,0.0002243237618,CsPbBr3,seebeck,350K
96,0.8,350.0,0.0003395417617,4.092712746e-09,5.963721141e-09,4.092713891e-09,0.0003395448485,2.791129917e-09,5.963694754e-09,2.791004469e-09,0.0003395429003,CsPbBr3,seebeck,350K
97,0.85,350.0,0.0004751265511,3.797564307e-09,5.834784861e-09,3.797558984e-09,0.0004751296343,2.68436942e-09,5.834762862e-09,2.684247028e-09,0.0004751276771,CsPbBr3,seebeck,350K
98,0.9,350.0,0.0006164773056,3.737019469e-09,5.808521081e-09,3.7370128e-09,0.0006164803879,2.663099913e-09,5.80849997e-09,2.662978107e-09,0.0006164784289,CsPbBr3,seebeck,350K
99,0.95,350.0,0.0007590424142,3.725306052e-09,5.803446928e-09,3.725299122e-09,0.0007590454963,2.659010002e-09,5.803425988e-09,2.658888308e-09,0.000759043537,CsPbBr3,seebeck,350K
